beta,seed,epoch,J,h,gradient_J,gradient_h,mass_J,mass_h,instances_J,instances_h,learning_rate,cumulative_measurements,error_relative,error_J,error_h
0.2,2,29,0.9359923255549635,1.27752753973715,-0.23587761538824797,0.13138505736794479,9.797993254588762,8.77108520911521,135,121,0.13157894736842105,237568,0.1284115714451205,0.06400767444503652,0.1483149735085667
0.2,2,30,0.8527353031132887,1.2429838251982288,0.8057345586802673,0.22286860433659317,9.88856049289419,8.805584040727437,135,121,0.12820512820512822,245760,0.16431134148679644,0.1472646968867113,0.17134411653451412
0.2,2,31,0.8590304038705421,1.2293695701967011,-0.04834637381570631,0.06970498560782146,9.493469767447785,8.434303258546397,135,121,0.125,253952,0.16926379645477443,0.14096959612945792,0.18042028653553258
0.2,2,32,0.9220410277587838,1.2938262322047087,-0.6375834097245574,-0.43481025692238034,9.497794241414095,8.417926574017283,135,121,0.12195121951219513,262144,0.1222673286504911,0.07795897224121617,0.1374491785301942
0.2,2,33,0.8784682233355607,1.3200465979428242,0.3513710948688708,-0.14096068620810911,9.856643700217674,8.803222209641913,135,121,0.11904761904761904,270336,0.12045196891601069,0.12153177666443926,0.11996893470478387
0.2,2,34,0.857342867797166,1.2324182957033285,0.29920251583910523,0.8273977824456827,9.719548393318814,8.730164709913366,134,122,0.11627906976744186,278528,0.16820411212630756,0.14265713220283405,0.17838780286444766
0.2,2,35,0.8693115582972732,1.181447361937752,-0.10111149734490688,0.28706829896772756,9.495688446304298,8.420670103053343,135,121,0.11363636363636363,286720,0.1909935576932895,0.13068844170272675,0.21236842537483205
0.2,2,36,0.897505871383667,1.239391886830351,-0.24359886506644246,-0.3337604633813717,9.465555899724622,8.322338827171865,136,120,0.1111111111111111,294912,0.15533748376275242,0.102494128616333,0.17373874211309928
0.2,2,37,0.8762158092425162,1.2356318393686452,0.1880338288306435,0.022139159454524316,9.670311197004523,8.572282540791814,135,121,0.10869565217391305,303104,0.16192405649856684,0.12378419075748381,0.1762454404209032
0.2,2,38,0.8627605026099995,1.324760705194622,0.12415192956359937,-0.5482605475210176,9.577434566334809,8.491459360005521,135,121,0.10638297872340426,311296,0.12346720534712684,0.13723949739000052,0.11682619653691868
0.2,2,39,0.8412424509547115,1.3957818529567787,0.19831036405513444,-0.43635393185069143,9.663123193959278,8.69145790788316,134,122,0.10416666666666667,319488,0.1053424913201472,0.1587575490452885,0.06947876469548087
